disease,description
Psoriasis,"Psoriasis is a skin condition that makes your skin cells grow too quickly. This causes thick, red, and scaly patches called plaques to appear on your skin. They can be itchy and may crack and bleed. Psoriasis can show up anywhere on your body, like on your scalp, elbows, knees, and lower back."
Varicose Veins,"Varicose veins are swollen and twisted veins that you can see just under the surface of your skin. They often look like bulging cords and are usually blue or dark purple. They can cause discomfort, aching, and swelling in your legs, especially after standing for long periods."
Typhoid,"Typhoid fever is a serious illness caused by bacteria that you can get from contaminated food or water. It causes high fever, headache, stomach pain, and sometimes a rash. Typhoid can make you feel very sick and can lead to serious complications if not treated."
Chicken pox,"Chicken pox is a common childhood illness caused by a virus. It starts with a rash of itchy red spots all over your body, which turn into small blisters filled with fluid. You may also have a fever, headache, and feel tired. Chickenpox is contagious, but it usually goes away on its own after a week or two."
Impetigo,"Impetigo is a common skin infection that causes red sores on your face, hands, and other parts of your body. The sores can burst and ooze fluid, and they may form a yellowish crust. Impetigo is contagious and can spread through close contact with someone who has it."
Dengue,"Dengue is a viral infection transmitted by mosquitoes. It causes high fever, severe headache, pain behind the eyes, joint and muscle pain, rash, and sometimes bleeding. Dengue can be severe and lead to serious complications, so it's important to seek medical attention if you think you have it."
Fungal infection,"A fungal infection is a common skin condition caused by fungi. It can affect different parts of your body, like your feet (athlete's foot), groin (jock itch), or nails (fungal nail infection). Fungal infections can cause itching, redness, and discomfort."
Common Cold,"The common cold is a viral infection of your nose and throat. It causes symptoms like a runny or stuffy nose, sneezing, sore throat, coughing, and sometimes a low-grade fever. The common cold is usually mild and goes away on its own within a week or two."
Pneumonia,"Pneumonia is a lung infection that can make you feel very sick. It causes symptoms like coughing, fever, difficulty breathing, chest pain, and feeling very tired. Pneumonia can be caused by bacteria, viruses, or fungi, and it can range from mild to severe."
Dimorphic Hemorrhoids,"Hemorrhoids, also known as piles, are swollen blood vessels in the rectal area. Dimorphic hemorrhoids have two forms: internal, inside the rectum, and external, outside the rectum. They can cause pain, itching, bleeding, and discomfort, especially during bowel movements."
